name_serie,release_date,channel,runtime,end_date,genre,rating,votes
¡Mucha Lucha!,"Oct. 05, 2004",TV Tokyo,24m,"Mar. 27, 2012",Action & Adventure,9.5,690
Re:Zero kara Hajimeru Isekai Seikatsu,"Feb. 23, 1986",Fuji Television,25m,"Apr. 19, 1989",Action & Adventure,9.6,657
KOUTETSUJOU NO KABANERI,"Jul. 05, 2015",Fuji Television,24m,"Jan. 28, 2017",Action & Adventure,9.5,642
La ley de Milo Murphy,"Nov. 04, 2013",Cartoon Network,11m,"Dec. 01, 2016",Animacion,9.6,633
Las nuevas aventuras de Tom y Jerry,"Mar. 03, 1997",MTV,30m,"Jan. 21, 2002",Animacion,9.7,618
Mayoiga,"Sep. 01, 2003",AnimaxNTV,25m,"Mar. 28, 2010",Animacion,9.7,598
Hot Wheels Battle Force 5,"Jul. 07, 2012",Tokyo Metropolitan Television,24m,"Dec. 13, 2014",Action & Adventure,9.5,536
Sailor Moon Crystal,"Apr. 01, 1997",TV Tokyo,22m,"Dec. 05, 2016",Animacion,9.5,516
One Piece,"Feb. 21, 2005",Nickelodeon,25m,"Jul. 19, 2008",Anime,9.6,514
El increíble mundo de Gumball,"Aug. 07, 2012",Cartoon NetworkNetflix,22m,"Jun. 24, 2016",Action & Adventure,9.6,479
Tenrou: Sirius the Jaeger,"Feb. 21, 2005",TV,25m,"Jul. 19, 2008",Accion,9.7,475
El amanecer de los Croods,"May. 03, 2011",Cartoon Network,22m,"Nov. 17, 2016",Animacion,9.5,462
Kill La Kill,"Aug. 24, 2015",Cartoon Network,11m,"Apr. 05, 2017",Animacion,9.6,450
Avatar: La leyenda de Aang,"Sep. 06, 2010",Cartoon Network,11m,"Jan. 16, 2017",Animacion,9.6,423
El Lagartijo de Ned,"May. 01, 1999",Nickelodeon,30m,"Dec. 31, 2017",Animacion,9.5,420
Skylanders Academy,"Apr. 15, 1989",Fuji Television,25m,"Sep. 25, 1992",Action & Adventure,9.6,419
Rugrats Crecidos,"Mar. 08, 2008",Disney XDThe CW,30m,"Nov. 18, 2009",Action & Adventure,9.7,379
Johnny Bravo,"Sep. 22, 2010",Teletoon,22m,"Nov. 11, 2012",Action & Adventure,9.7,369
Transformers: Guerras De Bestias,"Mar. 28, 1999",Fox Broadcasting CompanyComedy Central,22m,"Sep. 04, 2013",Animacion,9.4,360
Sailor Moon,"Jan. 31, 1999",FOXAdult Swim,22m,"Apr. 29, 2018",Animacion,9.2,323
Schwarzesmarken,"Apr. 03, 2004",Nickelodeon,22m,"Aug. 24, 2007",Action & Adventure,9.8,323
Cuidado con Batman,"Oct. 04, 2006",,22m,"Jun. 27, 2007",Animacion,9.5,322
Berserk 2016,"Dec. 27, 2005",Cartoon Network,30m,"Apr. 15, 2008",Action & Adventure,9.6,311
Big Mouth,"Sep. 25, 2017",CBS,22m,"Jan. 03, 2019",Ciencia,9.5,308
ThunderCats,"Mar. 07, 1999",Fuji Television,20m,"Mar. 25, 2007",Animacion,9.5,302
La vida moderna de Rocko,"Sep. 28, 2012",Nickelodeon,22m,"Apr. 02, 2017",Action & Adventure,9.6,294
Pinky y Cerebro,"Apr. 18, 2008",CITV,30m,"Mar. 26, 2010",Action & Adventure,9.6,294
Castlevania,"Jun. 15, 2012",Disney XDDisney Channel,22m,"Feb. 15, 2016",Animacion,9.7,291
X-Men,"Aug. 10, 2001",Cartoon NetworkAdult Swim,22m,"Mar. 11, 2017",Action & Adventure,9.9,274
Shoujo☆Kageki Revue Starlight,"Oct. 10, 2010",Hub NetworkDiscovery Family,22m,"Sep. 01, 2018",Animacion,9.4,272
Legión de Super Héroes,"Jan. 18, 1995",NHK,30m,"Mar. 21, 2000",Animacion,9.6,266
