name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Mahō Tsukai no Yome: La novia del mago,"Jul. 02, 2016",Tokyo Metropolitan TelevisionBS11BilibiliDAISUKIMBS TV,24m,"Mar. 25, 2017",Action & Adventure,8.6,18
Titán Sim-Biónico,"Jun. 10, 2016",Netflix,24m,"Dec. 14, 2018",Action & Adventure,9.6,89
91 Dias,"Oct. 04, 2012",Animax,24m,"Sep. 17, 2014",Animacion,9.1,14
TUFF Puppy,"Jul. 04, 2016",AT-X,24m,"Aug. 09, 2017",Animacion,8.2,34
Transformers: Prime,"Jul. 04, 2016",,23m,"Sep. 26, 2016",Animacion,9.1,62
Angel Beats!,"Oct. 01, 2016",Cartoon NetworkSuper RTL,11m,"Feb. 17, 2018",Action & Adventure,6.8,164
Assassination Classroom,"Oct. 01, 2016",TV Tokyo,24m,"Nov. 20, 2017",Action & Adventure,8.3,4
Marvel Knights. Thor & Loki: Hermanos de sangre,"Oct. 03, 2016",Disney XD,12m,"Dec. 02, 2017",Adolescentes,9.4,109
Mob Psycho 100,"Oct. 05, 2016",,24m,"Mar. 21, 2017",Animacion,8.3,70
Ao no Exorcist,"May. 30, 2016",Disney XDTeletoon,15m,"Jul. 29, 2016",Animacion,8.8,16
Kung Fu Panda: La Leyenda de Po,"Oct. 06, 2016",TV Asahi,24m,"Dec. 22, 2016",Animacion,9.5,50
ThunderCats 2011,"Jun. 15, 2012",Disney XDDisney Channel,22m,"Feb. 15, 2016",Animacion,9.7,291
Kore wa Zombie Desu ka,"Jul. 02, 2016",,24m,"Dec. 30, 2017",Animacion,7.5,8
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,"Oct. 01, 2016",,24m,"Dec. 17, 2016",Action & Adventure,8.9,25
Linterna Verde: La Serie Animada,"Sep. 06, 2010",Cartoon Network,11m,"Jan. 16, 2017",Animacion,9.6,424
Mirai Nikki,"Feb. 07, 1996",Fuji Television,25m,"Nov. 19, 1997",Action & Adventure,9.1,222
Hunter × Hunter,"Oct. 04, 2006",,22m,"Jun. 27, 2007",Animacion,9.5,322
Another,"Oct. 04, 2016",,3m,"May. 11, 2018",Action & Adventure,10,4
Ultimate Spiderman,"Nov. 04, 2013",Cartoon Network,11m,"Dec. 01, 2016",Animacion,9.6,634
Steins;Gate,"Mar. 30, 2001",Nickelodeon,12m,"Jan. 22, 2016",Animacion,9.2,152
Sword Art Online,"Apr. 26, 1989",Fuji Television,26m,"Jan. 31, 1996",Action & Adventure,9.5,914
Randy Cunningham: Ninja Total,"Oct. 07, 2016",Tokyo MX,24m,"Dec. 23, 2016",Animacion,7,31
Btooom,"Sep. 01, 2003",AnimaxNTV,25m,"Mar. 28, 2010",Animacion,9.7,599
Kiznaiver,"Sep. 10, 1983",ABC Family,30m,"Feb. 01, 1986",Animacion,8.4,27
Ben 10: Omniverse,"Mar. 01, 1998",Nickelodeon,30m,"Aug. 31, 2002",Animacion,9.3,45
JoJo’s Bizarre Adventure,"Sep. 13, 1993",The WB Television Network,22m,"Nov. 14, 1998",Animacion,9.3,92
Folktales from Japan,"Jul. 05, 2015",Fuji Television,24m,"Jan. 28, 2017",Action & Adventure,9.5,643
Lego Star Wars: Las aventuras de los Freemakers,"Mar. 30, 2001",Nickelodeon,11m,"Aug. 19, 2006",Animacion,9.7,206
Berserk 2016,"Dec. 06, 2002",Kids' WB,"30,22m","Jan. 21, 2008",Action & Adventure,9.6,172
Rewrite,"Sep. 30, 1960",American Broadcasting Company,30m,"Apr. 01, 1966",Animacion,9,110
